Description,Date,Distance,Average Moving Speed,Max Speed
Altrincham to West Didsbury ,1/5/2012 17:44:00,6.54,12.4,20.85
Altrincham to West Didsbury ,2/5/2012 18:04:00,6.35,13.1,21.69
West Didsbury to Altrincham ,3/5/2012 7:54:00,6.37,15.32,23.93
Altrincham to West Didsbury ,3/5/2012 17:44:00,6.33,13.78,23.51
West Didsbury to Altrincham ,4/5/2012 7:49:00,6.43,15.2,22.25
Altrincham to West Didsbury ,4/5/2012 18:11:00,6.4,13.22,22.11
West Didsbury to MRI ,5/5/2012 9:18:00,3.86,12.57,19.73
Manchester City Centre to West Didsbury ,5/5/2012 11:24:00,5.82,12.54,17.77
West Didsbury to Croft ,5/5/2012 17:46:00,18.6,14.92,26.86
West Didsbury to Altrincham ,8/5/2012 7:57:00,6.36,13.65,19.45
Altrincham to West Didsbury ,8/5/2012 17:41:00,6.4,15.47,23.37
West Didsbury to Altrincham ,9/5/2012 7:50:00,6.51,13.78,20.57
Altrincham to West Didsbury ,9/5/2012 18:00:00,6.62,13.89,25.25
West Didsbury to Altrincham ,10/5/2012 7:52:00,6.55,13.5,20.85
Altrincham to West Didsbury ,10/5/2012 17:42:00,6.35,14.93,23.93
West Didsbury to Altrincham ,11/5/2012 7:50:00,6.42,12.52,19.87
Altrincham to West Didsbury ,11/5/2012 17:44:00,6.33,14.74,22.39
Altrincham to West Didsbury ,14/05/2012 17:37,6.37,16.22,23.65
West Didsbury to Altrincham ,15/05/2012 07:53,5.98,12.7,19.03
Altrincham to West Didsbury ,15/05/2012 18:26,6.35,13.65,23.51
West Didsbury to Altrincham ,16/05/2012 07:56,6.9,14.48,57.85
Altrincham to West Didsbury ,16/05/2012 17:45,6.4,14.51,25.89
West Didsbury to Altrincham ,18/05/2012 07:48,6.54,15,21.69
Altrincham to West Didsbury ,18/05/2012 17:44,6.37,13.48,20.29
West Didsbury to Manchester City Centre ,20/05/2012 09:56,4.58,14.48,21.41
Manchester City Centre to West Didsbury ,20/05/2012 11:33,5.33,13.85,25.47
West Didsbury to Altrincham ,21/05/2012 07:49,6.37,14.32,24.49
Altrincham to West Didsbury ,21/05/2012 17:57,6.36,15.18,25.33
West Didsbury to Altrincham ,22/05/2012 07:47,6.36,14.38,24.07
Altrincham to West Didsbury ,22/05/2012 17:44,8.19,13.61,23.37
West Didsbury to Altrincham ,23/05/2012 07:43,8.35,13.67,19.45
Altrincham to West Didsbury ,23/05/2012 17:38,8.29,13.78,25.61
West Didsbury to Altrincham ,24/05/2012 07:51,6.44,14.06,20.29
Altrincham to West Didsbury ,24/05/2012 17:43,8.32,14.25,26.44
West Didsbury to Altrincham ,25/05/2012 07:47,7.49,13.9,18.33
Altrincham to Croft ,25/05/2012 17:44,12.53,16.65,26.72
Croft to West Didsbury ,26/05/2012 13:29,20.93,13.33,26.17
West Didsbury to Altrincham ,28/05/2012 07:45,7.78,13.21,19.31
Altrincham to West Didsbury ,28/05/2012 17:54,8.42,13.83,24.49
West Didsbury to Altrincham ,29/05/2012 07:48,8.35,13.16,19.17
Altrincham to West Didsbury ,29/05/2012 17:43,8.23,13.85,23.93
West Didsbury to Altrincham ,30/05/2012 07:45,8.47,13.32,20.85
Altrincham to West Didsbury ,30/05/2012 17:41,8.27,13.46,24.21
West Didsbury to Altrincham ,31/05/2012 07:51,6.44,15.27,21.97
Altrincham to West Didsbury ,31/05/2012 17:43,5.68,15.62,20.43
Bet Winner ,5/6/2012 4:56:00,6.01,11.67,18.05
West Didsbury to Altrincham ,11/6/2012 7:47:00,6.4,15.08,22.95
Altrincham to West Didsbury ,11/6/2012 17:38:00,6.46,14.56,27
West Didsbury to Altrincham ,12/6/2012 7:50:00,6.46,15.01,23.09
Altrincham to Northenden ,12/6/2012 17:45:00,4.85,14.84,27.14
Northenden to West Didsbury ,12/6/2012 18:14:00,1.72,15.36,19.45
West Didsbury to Hulme ,12/6/2012 18:47:00,4.63,12.9,20.57
Hulme to West Didsbury ,12/6/2012 22:17:00,4.35,15.06,21.69
West Didsbury to Altrincham ,13/06/2012 07:53,6.36,15.47,24.49
Altrincham to West Didsbury ,13/06/2012 17:42,6.61,14.52,35.26
West Didsbury to Altrincham ,14/06/2012 07:53,6.37,15.01,21.13
Altrincham to Croft ,14/06/2012 17:52,12.73,16.09,28.12
Croft to West Didsbury ,17/06/2012 15:24,18.72,14.7,30.5
West Didsbury to Altrincham ,18/06/2012 07:51,6.41,15.39,20.71
Altrincham to West Didsbury ,18/06/2012 17:45,6.46,14.62,21.69
West Didsbury to Altrincham ,19/06/2012 07:52,6.2,14.18,21.13
Altrincham to West Didsbury ,19/06/2012 17:42,6.37,14.64,21.83
West Didsbury to Altrincham ,20/06/2012 07:51,6.51,15.04,24.49
Altrincham to Northenden ,20/06/2012 17:39,4.68,14.37,22.67
Northenden to West Didsbury ,20/06/2012 18:06,1.73,15.27,20.15
West Didsbury to Altrincham ,21/06/2012 07:54,6.51,14.94,21.41
Altrincham to West Didsbury ,21/06/2012 17:42,6.35,14.7,30.22
West Didsbury to Altrincham ,25/06/2012 07:50,6.42,13.67,19.59
Altrincham to West Didsbury ,25/06/2012 17:39,6.36,15.07,26.17
West Didsbury to Altrincham ,26/06/2012 07:50,6.43,14.67,22.81
Altrincham to West Didsbury ,26/06/2012 17:47,6.32,14.7,24.21
West Didsbury to Altrincham ,27/06/2012 07:53,6.52,14.11,22.81
Altrincham to West Didsbury ,27/06/2012 17:49,6.38,14.85,28.12
West Didsbury to Altrincham ,28/06/2012 07:49,6.45,15.93,23.37
Altrincham to West Didsbury ,28/06/2012 17:55,6.33,15.3,25.47
West Didsbury to Altrincham ,29/06/2012 07:52,6.42,14.3,20.57
